                | Carro entrou na pista S1Norte
Tempo: 00:03:05 | Carro chegou no final da pista
Tempo: 00:03:05 | Carro chegou no final da pista
Tempo: 00:03:05 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:03:06 | Carro chegou no final da pista
Tempo: 00:03:06 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:03:08 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:03:09 | Carro chegou no final da pista
Tempo: 00:03:11 | Carro chegou no final da pista
Tempo: 00:03:13 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:03:14 | Carro chegou no final da pista
Tempo: 00:03:15 | Carro chegou no final da pista
Tempo: 00:03:15 | Carro chegou no final da pista
                | Carro saiu da pista S1Sul
Tempo: 00:03:15 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:03:19 | Carro chegou no final da pista
Tempo: 00:03:19 | Carro chegou no final da pista
Tempo: 00:03:19 | Carro chegou no final da pista
Tempo: 00:03:19 | Carro chegou no final da pista
Tempo: 00:03:21 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:03:23 | Carro chegou no final da pista
                | Carro saiu da pista N1Norte
Tempo: 00:03:23 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:03:25 | Carro chegou no final da pista
Tempo: 00:03:25 | Produz novo carro
                | Carro entrou na pista S2Norte
Tempo: 00:03:25 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:03:26 | Carro chegou no final da pista
Tempo: 00:03:27 | Carro chegou no final da pista
Tempo: 00:03:27 | Produz novo carro
                | Carro entrou na pista S1Norte
Tempo: 00:03:27 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:03:28 | Carro chegou no final da pista
                | Carro saiu da pista S2Sul
Tempo: 00:03:30 | Carro chegou no final da pista
Tempo: 00:03:31 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:03:32 | Carro chegou no final da pista
Tempo: 00:03:36 | Carro chegou no final da pista
Tempo: 00:03:36 | Carro chegou no final da pista
Tempo: 00:03:38 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:03:39 | Carro chegou no final da pista
                | Carro saiu da pista N2Norte
Tempo: 00:03:41 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:03:42 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:03:44 | Carro chegou no final da pista
Tempo: 00:03:44 | Carro chegou no final da pista
Tempo: 00:03:46 | Carro chegou no final da pista
                | Carro saiu da pista N2Norte
Tempo: 00:03:47 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:03:49 | Carro chegou no final da pista
                | Carro saiu da pista O1Oeste
Tempo: 00:03:50 | Carro chegou no final da pista
Tempo: 00:03:50 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:03:51 | Carro chegou no final da pista
Tempo: 00:03:51 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:03:53 | Carro chegou no final da pista
Tempo: 00:03:53 | Carro chegou no final da pista
Tempo: 00:03:54 | Carro chegou no final da pista
Tempo: 00:03:57 | Carro chegou no final da pista
Tempo: 00:03:57 | Produz novo carro
                | Carro entrou na pista S1Norte
Tempo: 00:04:00 | Troca de sinal
Tempo: 00:04:00 | Troca de sinal
Tempo: 00:04:01 | Tentando mover carro novamente
Tempo: 00:04:01 | Tentando mover carro novamente
Tempo: 00:04:01 | Tentando mover carro novamente
Tempo: 00:04:01 | Tentando mover carro novamente
